key,unit_procedure_id,unit_procedure_name,sequence_number,procedure_externalId,unit_externalId
UP_R12_SLURRY,UP-R12-SLURRY,R12 Slurry Preparation Unit Procedure,10,PROC-R12-CHARGE-STAGE1,UNIT_R12
UP_R12_FEED,UP-R12-FEED,R12 Charge Reactor Feed Unit Procedure,20,PROC-R12-CHARGE-STAGE2,UNIT_R12
UP_R12_TRIAL,UP-R12-TRIAL,R12 High Solids Trial Unit Procedure,30,PROC-R12-CHARGE-STAGE3,UNIT_R12
UP_R13_INIT,UP-R13-INIT,R13 Polymer Initiation Unit Procedure,10,PROC-R13-POLYMER-INIT,UNIT_R13
UP_R13_MAIN,UP-R13-MAIN,R13 Polymer Hold Unit Procedure,20,PROC-R13-POLYMER-HOLD,UNIT_R13
UP_R13_POSTCURE,UP-R13-POSTCURE,R13 Post Cure Bake Unit Procedure,30,PROC-R13-POSTCURE,UNIT_R13
UP_FILL_BULK,UP-FILL-BULK,Fill Bulk Transfer Unit Procedure,10,PROC-FILL-TRANSFER-BULK,UNIT_FILL_TANK
UP_FILL_V3,UP-FILL-V3,Fill Transfer Version 3 Unit Procedure,30,PROC-FILL-TRANSFER-V3-DEV,UNIT_FILL_TANK
UP_FILL_STERILE,UP-FILL-STERILE,Sterile Prep Unit Procedure,10,PROC-FILL-STERILE-ASEPTIC,UNIT_FILL_TANK
UP_FILL_REWORK,UP-FILL-REWORK,Fill Rework Sorting Unit Procedure,10,PROC-FILL-REWORK-SORT,UNIT_FILL_TANK
UP_FILL_CIP,UP-FILL-CIP,Fill Line CIP Circulation Unit Procedure,10,PROC-FILL-CIP-LOOP,UNIT_FILL_TANK
UP_R12_CIP_RINSE,UP-R12-CIP-RINSE,R12 CIP Rinse Unit Procedure,10,PROC-R12-CLEAN-RINSE,UNIT_R12
UP_R12_CIP_PASSIV,UP-R12-CIP-PASSIV,R12 CIP Passivation Unit Procedure,20,PROC-R12-CLEAN-PASSIV,UNIT_R12
UP_QC_CHROM,UP-QC-CHROM,QC Chromatography Run Unit Procedure,10,PROC-QC-CHROM-RUN,UNIT_QC1
UP_QC_STABILITY,UP-QC-STABILITY,QC Stability Prep Unit Procedure,10,PROC-QC-STABILITY-PREP,UNIT_QC1
UP_QC_MICRO,UP-QC-MICRO,QC Micro Media Unit Procedure,10,PROC-QC-MICRO-MEDIA,UNIT_QC1
UP_BLDR_MAIN,UP-BLDR-MAIN,Blender Main Mix Unit Procedure,10,PROC-BLDR-BLEND-MAIN,UNIT_BLDR
UP_BLDR_FINISH,UP-BLDR-FINISH,Blender Final Discharge Unit Procedure,20,PROC-BLDR-BLEND-FINISH,UNIT_BLDR
UP_PACK_LABEL,UP-PACK-LABEL,Packaging Label Application Unit Procedure,10,PROC-PACK-LABEL-MAIN,UNIT_CONV1

