key,material_id,material_name,material_class,description,primary_recipe_externalId,batch_externalId
MAT_R12_CHARGE_SLURRY,MAT-R12-CHARGE-SLURRY,R12 Charge Preparation Slurry,Intermediate,Intermediate slurry prepared in R12 charge sequence prior to polymerization,REC_MR_R12_CHARGE_V1,BATCH-R12-2024-001
MAT_R12_CHARGE_SLURRY_V2,MAT-R12-CHARGE-SLURRY-V2,R12 Charge Preparation Slurry V2,Intermediate,Adjusted solids formulation for R12 charge slurry version 2,REC_MR_R12_CHARGE_V2,BATCH-R12-2024-006
MAT_R12_CHARGE_SLURRY_V3,MAT-R12-CHARGE-SLURRY-V3,R12 Charge Preparation Slurry V3,Intermediate,High solids trial blend for R12 charge recipe version 3,REC_MR_R12_CHARGE_V3,BATCH-R12-TRIAL-007
MAT_R13_POLYMER_RESIN,MAT-R13-POLYMER-RESIN,R13 Polymer Resin,Finished,Final polymer resin output from R13 polymerization unit,REC_MR_R13_POLYMER_V1,BATCH-R13-2024-002
MAT_R13_POLYMER_RESIN_V2,MAT-R13-POLYMER-RESIN-V2,R13 Polymer Resin V2,Finished,Enhanced polymer resin grade for version 2 recipe variant,REC_MR_R13_POLYMER_V2,BATCH-R13-2024-008
MAT_R13_POSTCURE_COATING,MAT-R13-POSTCURE-COATING,R13 Post-Cure Coating,Intermediate,Post-cure coating applied to polymer resin prior to packaging,REC_MR_R13_POSTCURE_V1,BATCH-R13-POST-009
MAT_FILL_FINAL_PRODUCT,MAT-FILL-FINAL-PRODUCT,Bottled Fill Product,Finished,Packaged finished goods filled and capped on the fill line,REC_MR_FILL_TRANSFER_V2,BATCH-FILL-2024-003
MAT_FILL_FINAL_PRODUCT_V3,MAT-FILL-FINAL-PRODUCT-V3,Bottled Fill Product V3,Finished,Future release formulation filled using transfer recipe version 3,REC_MR_FILL_TRANSFER_V3,BATCH-FILL-DEV-018
MAT_FILL_STERILE_LOT,MAT-FILL-STERILE-LOT,Sterile Lot Release Product,Finished,Sterile packaged product from aseptic fill process,REC_MR_FILL_STERILE_V1,BATCH-FILL-2024-010
MAT_FILL_REWORK_BATCH,MAT-FILL-REWORK-BATCH,Fill Rework Batch,Intermediate,Reprocessed material from fill line deviation handling,REC_MR_FILL_REWORK_V1,BATCH-FILL-REWORK-011
MAT_R12_CIP_SOLUTION,MAT-R12-CIP-SOLUTION,R12 CIP Cleaning Solution,Consumable,Clean-in-place chemical solution used in R12 cleaning cycles,REC_SR_R12_CLEAN_V1,BATCH-CIP-2024-005
MAT_R12_CIP_SOLUTION_V2,MAT-R12-CIP-SOLUTION-V2,R12 CIP Cleaning Solution V2,Consumable,Low-foam cleaning blend for updated CIP procedure,REC_SR_R12_CLEAN_V2,BATCH-CIP-2024-016
MAT_FILL_CIP_SOLUTION,MAT-FILL-CIP-SOLUTION,Fill Line CIP Solution,Consumable,Detergent solution circulated through fill line cleaning circuits,REC_SR_FILL_CLEAN_V1,BATCH-FILL-CIP-012
MAT_QC_ELUENT,MAT-QC-ELUENT,Quality Control Eluent,Consumable,Chromatography eluent prepared for QC analytical testing,REC_MR_QC_CHROM_V1,BATCH-QC-2024-004
MAT_QC_STABILITY_CONTROL,MAT-QC-STABILITY-CONTROL,Stability Study Control Sample,Finished,Control sample archived for stability monitoring campaigns,REC_MR_QC_STABILITY_V1,BATCH-QC-STAB-013
MAT_QC_MICRO_MEDIA,MAT-QC-MICRO-MEDIA,QC Microbiology Media,Consumable,Culture media prepared for microbiological quality testing,REC_MR_QC_MICRO_V1,BATCH-QC-MICRO-014
MAT_BLDR_BLEND,MAT-BLDR-BLEND,Blender Homogenized Bulk,Intermediate,Bulk homogenized mixture produced in blender operations,REC_MR_BLDR_BLEND_V3,BATCH-BLDR-016
MAT_BLDR_DRY,MAT-BLDR-DRY,Dried Blender Granulate,Finished,Dried granulated output from blender dry-down recipe,REC_MR_BLDR_BLEND_V4,BATCH-BLDR-015
MAT_PACK_LABELS,MAT-PACK-LABELS,Packaging Labels Lot,Packaging,Printed labels and packaging materials for labeling operations,REC_MR_PACK_LABEL_V1,BATCH-PACK-017

